"dataset_id";"observacao_id";"amostra_id";"camada_nome";"profund_sup";"profund_inf";"terrafina";"argila";"silte";"areia";"carbono";"ctc";"ph";"dsi";"ce"
"ctb0003";"sm-dnos-001";NA;NA;0;20;NA;NA;NA;NA;5;NA;NA;1,49;NA
"ctb0003";"sm-dnos-002";NA;NA;0;20;NA;NA;NA;NA;8;NA;NA;1,56;NA
"ctb0003";"sm-dnos-003";NA;NA;0;20;NA;NA;NA;NA;10;NA;NA;1,3;NA
"ctb0003";"sm-dnos-004";NA;NA;0;20;NA;NA;NA;NA;19;NA;NA;1,15;NA
"ctb0003";"sm-dnos-005";NA;NA;0;20;NA;NA;NA;NA;13;NA;NA;1,17;NA
"ctb0003";"sm-dnos-006";NA;NA;0;20;NA;NA;NA;NA;11;NA;NA;1,38;NA
"ctb0003";"sm-dnos-007";NA;NA;0;20;NA;NA;NA;NA;13;NA;NA;1,41;NA
"ctb0003";"sm-dnos-008";NA;NA;0;20;NA;NA;NA;NA;12;NA;NA;1,07;NA
"ctb0003";"sm-dnos-009";NA;NA;0;20;NA;NA;NA;NA;9;NA;NA;1,23;NA
"ctb0003";"sm-dnos-010";NA;NA;0;20;NA;NA;NA;NA;11;NA;NA;1,57;NA
"ctb0003";"sm-dnos-011";NA;NA;0;20;NA;NA;NA;NA;6;NA;NA;1,37;NA
"ctb0003";"sm-dnos-012";NA;NA;0;20;NA;NA;NA;NA;12;NA;NA;1,05;NA
"ctb0003";"sm-dnos-013";NA;NA;0;20;NA;NA;NA;NA;10;NA;NA;1,22;NA
"ctb0003";"sm-dnos-014";NA;NA;0;20;NA;NA;NA;NA;15;NA;NA;1,18;NA
"ctb0003";"sm-dnos-015";NA;NA;0;20;NA;NA;NA;NA;15;NA;NA;0,97;NA
"ctb0003";"sm-dnos-016";NA;NA;0;20;NA;NA;NA;NA;12;NA;NA;1,32;NA
"ctb0003";"sm-dnos-017";NA;NA;0;20;NA;NA;NA;NA;10;NA;NA;1,46;NA
"ctb0003";"sm-dnos-018";NA;NA;0;20;NA;NA;NA;NA;4;NA;NA;1,45;NA
"ctb0003";"sm-dnos-019";NA;NA;0;20;NA;NA;NA;NA;16;NA;NA;1,25;NA
"ctb0003";"sm-dnos-020";NA;NA;0;20;NA;NA;NA;NA;7;NA;NA;1,39;NA
"ctb0003";"sm-dnos-021";NA;NA;0;20;NA;NA;NA;NA;8;NA;NA;1,47;NA
"ctb0003";"sm-dnos-022";NA;NA;0;20;NA;NA;NA;NA;5;NA;NA;1,43;NA
"ctb0003";"sm-dnos-023";NA;NA;0;20;NA;NA;NA;NA;3;NA;NA;0,69;NA
"ctb0003";"sm-dnos-024";NA;NA;0;20;NA;NA;NA;NA;3;NA;NA;1,52;NA
"ctb0003";"sm-dnos-025";NA;NA;0;20;NA;NA;NA;NA;8;NA;NA;1,1;NA
"ctb0003";"sm-dnos-026";NA;NA;0;20;NA;NA;NA;NA;7;NA;NA;1,41;NA
"ctb0003";"sm-dnos-027";NA;NA;0;20;NA;NA;NA;NA;20;NA;NA;1,34;NA
"ctb0003";"sm-dnos-028";NA;NA;0;20;NA;NA;NA;NA;5;NA;NA;1,43;NA
"ctb0003";"sm-dnos-029";NA;NA;0;20;NA;NA;NA;NA;5;NA;NA;1,41;NA
"ctb0003";"sm-dnos-030";NA;NA;0;20;NA;NA;NA;NA;8;NA;NA;1,39;NA
"ctb0003";"sm-dnos-031";NA;NA;0;20;NA;NA;NA;NA;10;NA;NA;1,39;NA
"ctb0003";"sm-dnos-032";NA;NA;0;20;NA;NA;NA;NA;5;NA;NA;1,53;NA
"ctb0003";"sm-dnos-033";NA;NA;0;20;NA;NA;NA;NA;18;NA;NA;1,13;NA
"ctb0003";"sm-dnos-034";NA;NA;0;20;NA;NA;NA;NA;7;NA;NA;1,38;NA
"ctb0003";"sm-dnos-035";NA;NA;0;20;NA;NA;NA;NA;17;NA;NA;1,3;NA
"ctb0003";"sm-dnos-036";NA;NA;0;20;NA;NA;NA;NA;8;NA;NA;1,46;NA
"ctb0003";"sm-dnos-037";NA;NA;0;20;NA;NA;NA;NA;10;NA;NA;1,44;NA
"ctb0003";"sm-dnos-038";NA;NA;0;20;NA;NA;NA;NA;6;NA;NA;1,42;NA
"ctb0003";"sm-dnos-039";NA;NA;0;20;NA;NA;NA;NA;5;NA;NA;1,43;NA
"ctb0003";"sm-dnos-040";NA;NA;0;20;NA;NA;NA;NA;9;NA;NA;1,4;NA
"ctb0003";"sm-dnos-041";NA;NA;0;20;NA;NA;NA;NA;7;NA;NA;1,45;NA
"ctb0003";"sm-dnos-042";NA;NA;0;20;NA;NA;NA;NA;8;NA;NA;1,41;NA
"ctb0003";"sm-dnos-043";NA;NA;0;20;NA;NA;NA;NA;6;NA;NA;1,33;NA
"ctb0003";"sm-dnos-044";NA;NA;0;20;NA;NA;NA;NA;8;NA;NA;1,44;NA
"ctb0003";"sm-dnos-045";NA;NA;0;20;NA;NA;NA;NA;15;NA;NA;1,42;NA
"ctb0003";"sm-dnos-046";NA;NA;0;20;NA;NA;NA;NA;19;NA;NA;1,06;NA
"ctb0003";"sm-dnos-047";NA;NA;0;20;NA;NA;NA;NA;15;NA;NA;1,53;NA
"ctb0003";"sm-dnos-048";NA;NA;0;20;NA;NA;NA;NA;13;NA;NA;1,4;NA
"ctb0003";"sm-dnos-049";NA;NA;0;20;NA;NA;NA;NA;20;NA;NA;1,33;NA
"ctb0003";"sm-dnos-050";NA;NA;0;20;NA;NA;NA;NA;15;NA;NA;1,45;NA
"ctb0003";"sm-dnos-051";NA;NA;0;20;NA;NA;NA;NA;4;NA;NA;1,47;NA
"ctb0003";"sm-dnos-052";NA;NA;0;20;NA;NA;NA;NA;14;NA;NA;1,25;NA
"ctb0003";"sm-dnos-053";NA;NA;0;20;NA;NA;NA;NA;9;NA;NA;1,31;NA
"ctb0003";"sm-dnos-054";NA;NA;0;20;NA;NA;NA;NA;19;NA;NA;1,25;NA
"ctb0003";"sm-dnos-055";NA;NA;0;20;NA;NA;NA;NA;12;NA;NA;1,02;NA
"ctb0003";"sm-dnos-056";NA;NA;0;20;NA;NA;NA;NA;10;NA;NA;1,54;NA
"ctb0003";"sm-dnos-057";NA;NA;0;20;NA;NA;NA;NA;17;NA;NA;1,37;NA
"ctb0003";"sm-dnos-058";NA;NA;0;20;NA;NA;NA;NA;9;NA;NA;1,5;NA
"ctb0003";"sm-dnos-059";NA;NA;0;20;NA;NA;NA;NA;7;NA;NA;1,46;NA
"ctb0003";"sm-dnos-060";NA;NA;0;20;NA;NA;NA;NA;8;NA;NA;1,34;NA
"ctb0003";"sm-dnos-061";NA;NA;0;20;NA;NA;NA;NA;7;NA;NA;1,45;NA
"ctb0003";"sm-dnos-062";NA;NA;0;20;NA;NA;NA;NA;10;NA;NA;1,61;NA
"ctb0003";"sm-dnos-063";NA;NA;0;20;NA;NA;NA;NA;12;NA;NA;1,68;NA
"ctb0003";"sm-dnos-064";NA;NA;0;20;NA;NA;NA;NA;11;NA;NA;1,75;NA
"ctb0003";"sm-dnos-065";NA;NA;0;20;NA;NA;NA;NA;8;NA;NA;1,83;NA
"ctb0003";"sm-dnos-066";NA;NA;0;20;NA;NA;NA;NA;5;NA;NA;1,61;NA
"ctb0003";"sm-dnos-067";NA;NA;0;20;NA;NA;NA;NA;7;NA;NA;1,6;NA
"ctb0003";"sm-dnos-068";NA;NA;0;20;NA;NA;NA;NA;6;NA;NA;1,78;NA
"ctb0003";"sm-dnos-069";NA;NA;0;20;NA;NA;NA;NA;12;NA;NA;1,37;NA
"ctb0003";"sm-dnos-070";NA;NA;0;20;NA;NA;NA;NA;14;NA;NA;1,63;NA
"ctb0003";"sm-dnos-071";NA;NA;0;20;NA;NA;NA;NA;12;NA;NA;1,65;NA
"ctb0003";"sm-dnos-072";NA;NA;0;20;NA;NA;NA;NA;12;NA;NA;1,8;NA
"ctb0003";"sm-dnos-073";NA;NA;0;15;NA;NA;NA;NA;26;NA;NA;1,57;NA
"ctb0003";"sm-dnos-074";NA;NA;0;20;NA;NA;NA;NA;6;NA;NA;1,82;NA
"ctb0003";"sm-dnos-075";NA;NA;0;20;NA;NA;NA;NA;12;NA;NA;1,67;NA
"ctb0003";"sm-dnos-076";NA;NA;0;20;NA;NA;NA;NA;14;NA;NA;1,71;NA
"ctb0003";"sm-dnos-077";NA;NA;0;20;NA;NA;NA;NA;12;NA;NA;1,46;NA
"ctb0003";"sm-dnos-078";NA;NA;0;20;NA;NA;NA;NA;20;NA;NA;1,52;NA
"ctb0003";"sm-dnos-079";NA;NA;0;20;NA;NA;NA;NA;21;NA;NA;1,31;NA
"ctb0003";"sm-dnos-080";NA;NA;0;20;NA;NA;NA;NA;14;NA;NA;1,5;NA
"ctb0003";"sm-dnos-081";NA;NA;0;20;NA;NA;NA;NA;13;NA;NA;1,54;NA
"ctb0003";"sm-dnos-082";NA;NA;0;20;NA;NA;NA;NA;7;NA;NA;1,67;NA
"ctb0003";"sm-dnos-083";NA;NA;0;20;NA;NA;NA;NA;11;NA;NA;1,6;NA
"ctb0003";"sm-dnos-084";NA;NA;0;20;NA;NA;NA;NA;13;NA;NA;1,81;NA
"ctb0003";"sm-dnos-085";NA;NA;0;20;NA;NA;NA;NA;15;NA;NA;1,11;NA
"ctb0003";"sm-dnos-086";NA;NA;0;20;NA;NA;NA;NA;19;NA;NA;1,3;NA
"ctb0003";"sm-dnos-087";NA;NA;0;20;NA;NA;NA;NA;16;NA;NA;1,67;NA
"ctb0003";"sm-dnos-088";NA;NA;0;20;NA;NA;NA;NA;9;NA;NA;1,7;NA
"ctb0003";"sm-dnos-089";NA;NA;0;20;NA;NA;NA;NA;12;NA;NA;1,73;NA
"ctb0003";"sm-dnos-090";NA;NA;0;20;NA;NA;NA;NA;14;NA;NA;1,61;NA
"ctb0003";"sm-dnos-091";NA;NA;0;20;NA;NA;NA;NA;18;NA;NA;1,32;NA
"ctb0003";"sm-dnos-092";NA;NA;0;20;NA;NA;NA;NA;10;NA;NA;1,53;NA
"ctb0003";"sm-dnos-093";NA;NA;0;20;NA;NA;NA;NA;14;NA;NA;1,47;NA
"ctb0003";"sm-dnos-094";NA;NA;0;20;NA;NA;NA;NA;9;NA;NA;1,39;NA
"ctb0003";"sm-dnos-095";NA;NA;0;20;NA;NA;NA;NA;24;NA;NA;1,34;NA
"ctb0003";"sm-dnos-096";NA;NA;0;20;NA;NA;NA;NA;27;NA;NA;1,49;NA
"ctb0003";"sm-dnos-097";NA;NA;0;10;NA;NA;NA;NA;29;NA;NA;1,62;NA
"ctb0003";"sm-dnos-098";NA;NA;0;20;NA;NA;NA;NA;23;NA;NA;1,5;NA
"ctb0003";"sm-dnos-099";NA;NA;0;20;NA;NA;NA;NA;8;NA;NA;1,73;NA
"ctb0003";"sm-dnos-100";NA;NA;0;20;NA;NA;NA;NA;31;NA;NA;1,14;NA
"ctb0003";"sm-dnos-101";NA;NA;0;17,5;NA;NA;NA;NA;11;NA;NA;1,77;NA
"ctb0003";"sm-dnos-102";NA;NA;0;20;NA;NA;NA;NA;23;NA;NA;1,68;NA
"ctb0003";"sm-dnos-103";NA;NA;0;20;NA;NA;NA;NA;16;NA;NA;1,81;NA
"ctb0003";"sm-dnos-104";NA;NA;0;20;NA;NA;NA;NA;18;NA;NA;1,61;NA
"ctb0003";"sm-dnos-105";NA;NA;0;20;NA;NA;NA;NA;17;NA;NA;1,37;NA
"ctb0003";"sm-dnos-106";NA;NA;0;20;NA;NA;NA;NA;23;NA;NA;1,52;NA
"ctb0003";"sm-dnos-107";NA;NA;0;20;NA;NA;NA;NA;48;NA;NA;1,23;NA
"ctb0003";"sm-dnos-108";NA;NA;0;20;NA;NA;NA;NA;24;NA;NA;1,2;NA
"ctb0003";"sm-dnos-109";NA;NA;0;10;NA;NA;NA;NA;36;NA;NA;1,16;NA
"ctb0003";"sm-dnos-110";NA;NA;0;20;NA;NA;NA;NA;24;NA;NA;1,57;NA
"ctb0003";"sm-dnos-111";NA;NA;0;20;NA;NA;NA;NA;21;NA;NA;1,59;NA
"ctb0003";"sm-dnos-112";NA;NA;0;20;NA;NA;NA;NA;17;NA;NA;1,83;NA
"ctb0003";"sm-dnos-113";NA;NA;0;15;NA;NA;NA;NA;16;NA;NA;1,64;NA
"ctb0003";"sm-dnos-114";NA;NA;0;20;NA;NA;NA;NA;7;NA;NA;1,8;NA
"ctb0003";"sm-dnos-115";NA;NA;0;15;NA;NA;NA;NA;24;NA;NA;1,63;NA
"ctb0003";"sm-dnos-116";NA;NA;0;20;NA;NA;NA;NA;5;NA;NA;1,76;NA
"ctb0003";"sm-dnos-117";NA;NA;0;20;NA;NA;NA;NA;7;NA;NA;1,73;NA
"ctb0003";"sm-dnos-118";NA;NA;0;17,5;NA;NA;NA;NA;29;NA;NA;1,45;NA
"ctb0003";"sm-dnos-119";NA;NA;0;20;NA;NA;NA;NA;32;NA;NA;1,1;NA
"ctb0003";"sm-dnos-120";NA;NA;0;20;NA;NA;NA;NA;11;NA;NA;1,46;NA
"ctb0003";"sm-dnos-121";NA;NA;0;15;NA;NA;NA;NA;46;NA;NA;0,87;NA
"ctb0003";"sm-dnos-122";NA;NA;0;20;NA;NA;NA;NA;5;NA;NA;1,69;NA
"ctb0003";"sm-dnos-123";NA;NA;0;20;NA;NA;NA;NA;16;NA;NA;1,77;NA
"ctb0003";"sm-dnos-124";NA;NA;0;20;NA;NA;NA;NA;7;NA;NA;1,78;NA
"ctb0003";"sm-dnos-125";NA;NA;0;20;NA;NA;NA;NA;5;NA;NA;1,71;NA
"ctb0003";"sm-dnos-126";NA;NA;0;20;NA;NA;NA;NA;7;NA;NA;1,9;NA
"ctb0003";"sm-dnos-127";NA;NA;0;20;NA;NA;NA;NA;5;NA;NA;1,8;NA
"ctb0003";"sm-dnos-128";NA;NA;0;20;NA;NA;NA;NA;4;NA;NA;1,66;NA
"ctb0003";"sm-dnos-129";NA;NA;0;20;NA;NA;NA;NA;5;NA;NA;1,76;NA
"ctb0003";"sm-dnos-130";NA;NA;0;20;NA;NA;NA;NA;6;NA;NA;1,37;NA
"ctb0003";"sm-dnos-131";NA;NA;0;20;NA;NA;NA;NA;5;NA;NA;1,74;NA
"ctb0003";"sm-dnos-132";NA;NA;0;20;NA;NA;NA;NA;9;NA;NA;1,71;NA
"ctb0003";"sm-dnos-133";NA;NA;0;20;NA;NA;NA;NA;5;NA;NA;1,74;NA
"ctb0003";"sm-dnos-134";NA;NA;0;10;NA;NA;NA;NA;27;NA;NA;NA;NA
"ctb0003";"sm-dnos-135";NA;NA;0;10;NA;NA;NA;NA;33;NA;NA;NA;NA
"ctb0003";"sm-dnos-136";NA;NA;0;20;NA;NA;NA;NA;20;NA;NA;1,43;NA
"ctb0003";"sm-dnos-137";NA;NA;0;20;NA;NA;NA;NA;8;NA;NA;1,71;NA
"ctb0003";"sm-dnos-138";NA;NA;0;20;NA;NA;NA;NA;8;NA;NA;1,78;NA
"ctb0003";"sm-dnos-139";NA;NA;0;20;NA;NA;NA;NA;9;NA;NA;1,81;NA
"ctb0003";"sm-dnos-140";NA;NA;0;10;NA;NA;NA;NA;88;NA;NA;0,63;NA
"ctb0003";"sm-dnos-141";NA;NA;0;10;NA;NA;NA;NA;14;NA;NA;1,56;NA
"ctb0003";"sm-dnos-142";NA;NA;0;10;NA;NA;NA;NA;59;NA;NA;0,76;NA
"ctb0003";"sm-dnos-143";NA;NA;0;15;NA;NA;NA;NA;59;NA;NA;0,86;NA
"ctb0003";"sm-dnos-144";NA;NA;0;17,5;NA;NA;NA;NA;34;NA;NA;1,02;NA
"ctb0003";"sm-dnos-145";NA;NA;0;5;NA;NA;NA;NA;100;NA;NA;1,35;NA
"ctb0003";"sm-dnos-146";NA;NA;0;20;NA;NA;NA;NA;26;NA;NA;1,21;NA
"ctb0003";"sm-dnos-147";NA;NA;0;20;NA;NA;NA;NA;24;NA;NA;1,03;NA
"ctb0003";"sm-dnos-148";NA;NA;0;20;NA;NA;NA;NA;23;NA;NA;NA;NA
"ctb0003";"sm-dnos-149";NA;NA;0;20;NA;NA;NA;NA;25;NA;NA;1,47;NA
"ctb0003";"sm-dnos-150";NA;NA;0;6,5;NA;NA;NA;NA;22;NA;NA;1,03;NA
"ctb0003";"sm-dnos-151";NA;NA;0;20;NA;NA;NA;NA;29;NA;NA;0,97;NA
"ctb0003";"sm-dnos-152";NA;NA;0;20;NA;NA;NA;NA;18;NA;NA;1,6;NA
"ctb0003";"sm-dnos-153";NA;NA;0;10;NA;NA;NA;NA;49;NA;NA;NA;NA
"ctb0003";"sm-dnos-154";NA;NA;0;20;NA;NA;NA;NA;18;NA;NA;1,31;NA
"ctb0003";"sm-dnos-155";NA;NA;0;20;NA;NA;NA;NA;20;NA;NA;1,33;NA
"ctb0003";"sm-dnos-156";NA;NA;0;20;NA;NA;NA;NA;20;NA;NA;1,52;NA
"ctb0003";"sm-dnos-157";NA;NA;0;20;NA;NA;NA;NA;28;NA;NA;1,29;NA
"ctb0003";"sm-dnos-158";NA;NA;0;20;NA;NA;NA;NA;20;NA;NA;1,49;NA
"ctb0003";"sm-dnos-159";NA;NA;0;20;NA;NA;NA;NA;14;NA;NA;1,07;NA
"ctb0003";"sm-dnos-160";NA;NA;0;12,5;NA;NA;NA;NA;30;NA;NA;1,58;NA
"ctb0003";"sm-dnos-161";NA;NA;0;20;NA;NA;NA;NA;12;NA;NA;1,38;NA
"ctb0003";"sm-dnos-162";NA;NA;0;10;NA;NA;NA;NA;32;NA;NA;1,18;NA
"ctb0003";"sm-dnos-163";NA;NA;0;20;NA;NA;NA;NA;8;NA;NA;1,92;NA
"ctb0003";"sm-dnos-164";NA;NA;0;20;NA;NA;NA;NA;12;NA;NA;1,67;NA
"ctb0003";"sm-dnos-165";NA;NA;0;20;NA;NA;NA;NA;8;NA;NA;1,85;NA
"ctb0003";"sm-dnos-166";NA;NA;0;20;NA;NA;NA;NA;5;NA;NA;1,8;NA
"ctb0003";"sm-dnos-167";NA;NA;0;20;NA;NA;NA;NA;11;NA;NA;1,4;NA
"ctb0003";"sm-dnos-168";NA;NA;0;20;NA;NA;NA;NA;61;NA;NA;NA;NA
"ctb0003";"sm-dnos-169";NA;NA;0;20;NA;NA;NA;NA;10;NA;NA;1,64;NA
"ctb0003";"sm-dnos-170";NA;NA;0;20;NA;NA;NA;NA;6;NA;NA;1,79;NA
"ctb0003";"sm-dnos-171";NA;NA;0;20;NA;NA;NA;NA;5;NA;NA;1,83;NA
"ctb0003";"sm-dnos-172";NA;NA;0;20;NA;NA;NA;NA;6;NA;NA;1,68;NA
"ctb0003";"sm-dnos-173";NA;NA;0;20;NA;NA;NA;NA;15;NA;NA;1,57;NA
"ctb0003";"sm-dnos-174";NA;NA;0;20;NA;NA;NA;NA;10;NA;NA;1,58;NA
"ctb0003";"sm-dnos-175";NA;NA;0;20;NA;NA;NA;NA;13;NA;NA;1,45;NA
"ctb0003";"sm-dnos-176";NA;NA;0;20;NA;NA;NA;NA;8;NA;NA;1,59;NA
"ctb0003";"sm-dnos-177";NA;NA;0;20;NA;NA;NA;NA;24;NA;NA;NA;NA
"ctb0003";"sm-dnos-178";NA;NA;0;5;NA;NA;NA;NA;79;NA;NA;NA;NA
"ctb0003";"sm-dnos-179";NA;NA;0;20;NA;NA;NA;NA;14;NA;NA;1,29;NA
"ctb0003";"sm-dnos-180";NA;NA;0;20;NA;NA;NA;NA;25;NA;NA;0,93;NA
"ctb0003";"sm-dnos-181";NA;NA;0;15;NA;NA;NA;NA;28;NA;NA;1,28;NA
"ctb0003";"sm-dnos-182";NA;NA;0;15;NA;NA;NA;NA;13;NA;NA;1,37;NA
"ctb0003";"sm-dnos-183";NA;NA;0;10;NA;NA;NA;NA;14;NA;NA;1,1;NA
"ctb0003";"sm-dnos-184";NA;NA;0;17,5;NA;NA;NA;NA;40;NA;NA;NA;NA
"ctb0003";"sm-dnos-185";NA;NA;0;20;NA;NA;NA;NA;16;NA;NA;1,58;NA
"ctb0003";"sm-dnos-186";NA;NA;0;10;NA;NA;NA;NA;24;NA;NA;NA;NA
"ctb0003";"sm-dnos-187";NA;NA;0;20;NA;NA;NA;NA;17;NA;NA;1,76;NA
"ctb0003";"sm-dnos-188";NA;NA;0;20;NA;NA;NA;NA;25;NA;NA;1,39;NA
"ctb0003";"sm-dnos-189";NA;NA;0;15;NA;NA;NA;NA;24;NA;NA;1,34;NA
"ctb0003";"sm-dnos-190";NA;NA;0;10;NA;NA;NA;NA;21;NA;NA;1,63;NA
"ctb0003";"sm-dnos-191";NA;NA;0;20;NA;NA;NA;NA;20;NA;NA;1,61;NA
"ctb0003";"sm-dnos-192";NA;NA;0;20;NA;NA;NA;NA;24;NA;NA;1,47;NA
"ctb0003";"sm-dnos-193";NA;NA;0;5;NA;NA;NA;NA;81;NA;NA;NA;NA
"ctb0003";"sm-dnos-194";NA;NA;0;20;NA;NA;NA;NA;21;NA;NA;1,63;NA
"ctb0003";"sm-dnos-195";NA;NA;0;20;NA;NA;NA;NA;28;NA;NA;1,16;NA
"ctb0003";"sm-dnos-196";NA;NA;0;20;NA;NA;NA;NA;21;NA;NA;1,52;NA
"ctb0003";"sm-dnos-197";NA;NA;0;20;NA;NA;NA;NA;25;NA;NA;1,34;NA
"ctb0003";"sm-dnos-198";NA;NA;0;20;NA;NA;NA;NA;18;NA;NA;1,51;NA
"ctb0003";"sm-dnos-199";NA;NA;0;20;NA;NA;NA;NA;17;NA;NA;1,64;NA
"ctb0003";"sm-dnos-200";NA;NA;0;20;NA;NA;NA;NA;21;NA;NA;1,69;NA
"ctb0003";"sm-dnos-201";NA;NA;0;20;NA;NA;NA;NA;30;NA;NA;1,08;NA
"ctb0003";"sm-dnos-202";NA;NA;0;5;NA;NA;NA;NA;64;NA;NA;NA;NA
"ctb0003";"sm-dnos-203";NA;NA;0;10;NA;NA;NA;NA;41;NA;NA;NA;NA
"ctb0003";"sm-dnos-204";NA;NA;0;20;NA;NA;NA;NA;37;NA;NA;1,38;NA
"ctb0003";"sm-dnos-205";NA;NA;0;8;NA;NA;NA;NA;41;NA;NA;NA;NA
"ctb0003";"sm-dnos-206";NA;NA;0;20;NA;NA;NA;NA;26;NA;NA;1,03;NA
"ctb0003";"sm-dnos-207";NA;NA;0;20;NA;NA;NA;NA;28;NA;NA;1,46;NA
"ctb0003";"sm-dnos-208";NA;NA;0;10;NA;NA;NA;NA;46;NA;NA;NA;NA
"ctb0003";"sm-dnos-209";NA;NA;0;20;NA;NA;NA;NA;33;NA;NA;1,18;NA
"ctb0003";"sm-dnos-210";NA;NA;0;20;NA;NA;NA;NA;17;NA;NA;1,61;NA
"ctb0003";"sm-dnos-211";NA;NA;0;20;NA;NA;NA;NA;23;NA;NA;1,76;NA
"ctb0003";"sm-dnos-212";NA;NA;0;20;NA;NA;NA;NA;20;NA;NA;1,32;NA
"ctb0003";"sm-dnos-213";NA;NA;0;5;NA;NA;NA;NA;68;NA;NA;NA;NA
"ctb0003";"sm-dnos-214";NA;NA;0;12,5;NA;NA;NA;NA;54;NA;NA;1,25;NA
"ctb0003";"sm-dnos-215";NA;NA;0;20;NA;NA;NA;NA;18;NA;NA;1,38;NA
"ctb0003";"sm-dnos-216";NA;NA;0;20;NA;NA;NA;NA;31;NA;NA;1,35;NA
"ctb0003";"sm-dnos-217";NA;NA;0;20;NA;NA;NA;NA;19;NA;NA;NA;NA
"ctb0003";"sm-dnos-218";NA;NA;0;20;NA;NA;NA;NA;33;NA;NA;NA;NA
"ctb0003";"sm-dnos-219";NA;NA;0;20;NA;NA;NA;NA;27;NA;NA;NA;NA
"ctb0003";"sm-dnos-220";NA;NA;0;20;NA;NA;NA;NA;32;NA;NA;1,26;NA
"ctb0003";"sm-dnos-221";NA;NA;0;20;NA;NA;NA;NA;29;NA;NA;1,29;NA
"ctb0003";"sm-dnos-222";NA;NA;0;20;NA;NA;NA;NA;28;NA;NA;NA;NA
"ctb0003";"sm-dnos-223";NA;NA;0;20;NA;NA;NA;NA;27;NA;NA;1,24;NA
"ctb0003";"sm-dnos-224";NA;NA;0;20;NA;NA;NA;NA;31;NA;NA;1,41;NA
"ctb0003";"sm-dnos-225";NA;NA;0;20;NA;NA;NA;NA;37;NA;NA;1,07;NA
"ctb0003";"sm-dnos-226";NA;NA;0;20;NA;NA;NA;NA;46;NA;NA;NA;NA
"ctb0003";"sm-dnos-227";NA;NA;0;20;NA;NA;NA;NA;7;NA;NA;NA;NA
"ctb0003";"sm-dnos-228";NA;NA;0;5;NA;NA;NA;NA;21;NA;NA;NA;NA
"ctb0003";"sm-dnos-229";NA;NA;0;20;NA;NA;NA;NA;15;NA;NA;1,64;NA
"ctb0003";"sm-dnos-230";NA;NA;0;15;NA;NA;NA;NA;12;NA;NA;1,75;NA
"ctb0003";"sm-dnos-231";NA;NA;0;20;NA;NA;NA;NA;15;NA;NA;NA;NA
"ctb0003";"sm-dnos-232";NA;NA;0;15;NA;NA;NA;NA;39;NA;NA;1,4;NA
"ctb0003";"sm-dnos-233";NA;NA;0;2;NA;NA;NA;NA;134;NA;NA;NA;NA
"ctb0003";"sm-dnos-234";NA;NA;0;12,5;NA;NA;NA;NA;48;NA;NA;NA;NA
"ctb0003";"sm-dnos-235";NA;NA;0;15;NA;NA;NA;NA;31;NA;NA;NA;NA
"ctb0003";"sm-dnos-236";NA;NA;0;20;NA;NA;NA;NA;20;NA;NA;1,5;NA
"ctb0003";"sm-dnos-237";NA;NA;0;20;NA;NA;NA;NA;31;NA;NA;1,4;NA
"ctb0003";"sm-dnos-238";NA;NA;0;20;NA;NA;NA;NA;20;NA;NA;1,52;NA
"ctb0003";"sm-dnos-239";NA;NA;0;15;NA;NA;NA;NA;23;NA;NA;1,74;NA
"ctb0003";"sm-dnos-240";NA;NA;0;15;NA;NA;NA;NA;33;NA;NA;1,39;NA
"ctb0003";"sm-dnos-241";NA;NA;0;7,5;NA;NA;NA;NA;34;NA;NA;NA;NA
"ctb0003";"sm-dnos-242";NA;NA;0;5;NA;NA;NA;NA;75;NA;NA;NA;NA
"ctb0003";"sm-dnos-243";NA;NA;0;2,5;NA;NA;NA;NA;23;NA;NA;NA;NA
"ctb0003";"sm-dnos-244";NA;NA;0;20;NA;NA;NA;NA;15;NA;NA;NA;NA
"ctb0003";"sm-dnos-245";NA;NA;0;20;NA;NA;NA;NA;8;NA;NA;1,78;NA
"ctb0003";"sm-dnos-246";NA;NA;0;20;NA;NA;NA;NA;6;NA;NA;1,4;NA
"ctb0003";"sm-dnos-247";NA;NA;0;17,5;NA;NA;NA;NA;21;NA;NA;NA;NA
"ctb0003";"sm-dnos-248";NA;NA;0;12,5;NA;NA;NA;NA;10;NA;NA;NA;NA
"ctb0003";"sm-dnos-249";NA;NA;0;20;NA;NA;NA;NA;34;NA;NA;0,86;NA
"ctb0003";"sm-dnos-250";NA;NA;0;20;NA;NA;NA;NA;19;NA;NA;1,47;NA
"ctb0003";"sm-dnos-251";NA;NA;0;20;NA;NA;NA;NA;20;NA;NA;1,08;NA
"ctb0003";"sm-dnos-252";NA;NA;0;20;NA;NA;NA;NA;25;NA;NA;1,58;NA
"ctb0003";"sm-dnos-253";NA;NA;0;20;NA;NA;NA;NA;26;NA;NA;1,52;NA
"ctb0003";"sm-dnos-254";NA;NA;0;20;NA;NA;NA;NA;25;NA;NA;1,36;NA
"ctb0003";"sm-dnos-255";NA;NA;0;20;NA;NA;NA;NA;21;NA;NA;1,27;NA
"ctb0003";"sm-dnos-256";NA;NA;0;20;NA;NA;NA;NA;26;NA;NA;1,38;NA
"ctb0003";"sm-dnos-257";NA;NA;0;20;NA;NA;NA;NA;26;NA;NA;1,06;NA
